guid,title,pubDate,description,link,media
b'https://www.hindustantimes.com/lok-sabha-elections/chandrababu-begins-fast-in-delhi-over-special-status-to-andhra-pradesh-has-support-of-over-20-oppn-parties/story-W1gcE4Fpmrko0zW5eQFjMM.html',"b""'PM Modi not following raj dharma', says Chandrababu, begins fast seeking special...""","b'Mon, 11 Feb 2019 04:55:44 GMT '","b'Andhra Pradesh chief minister N Chandrababu Naidu began his 12-hour fast at Andhra Bhavan in Delhi on Monday, shifting the scene of his crusade for a special category status for his state to the national capital.'",b'https://www.hindustantimes.com/lok-sabha-elections/chandrababu-begins-fast-in-delhi-over-special-status-to-andhra-pradesh-has-support-of-over-20-oppn-parties/story-W1gcE4Fpmrko0zW5eQFjMM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/02/11/Pictures/_efd4e65a-2daf-11e9-967b-5cdb4de5a68c.png
b'https://www.hindustantimes.com/cricket/sourav-ganguly-picks-ms-dhoni-as-india-s-biggest-positive-from-the-australia-new-zealand-limited-overs-leg/story-AArAC1LhfmmtMbgLAv2e2H.html',"b""Sourav Ganguly picks India's biggest positive from the Australia-New Zealand limited...""","b'Mon, 11 Feb 2019 04:35:13 GMT '","b'The other players who impressed Ganguly were Vijay Shankar and Rishabh Pant along with Mohammed Shami. However, the former captain still believed that Shankar might not make it to the World Cup.'",b'https://www.hindustantimes.com/cricket/sourav-ganguly-picks-ms-dhoni-as-india-s-biggest-positive-from-the-australia-new-zealand-limited-overs-leg/story-AArAC1LhfmmtMbgLAv2e2H.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/02/11/Pictures/england-india-nets-press-conference_1f1e9ee6-2db6-11e9-8baa-80fb3b94486c.jpg
b'https://www.hindustantimes.com/columns/priyanka-gandhi-vadra-has-her-task-cut-out-in-uttar-pradesh/story-UwEYgK0fAZhkIyHonwSwAN.html',b'OPINION | Priyanka Gandhi Vadra has her task cut out in UP',"b'Mon, 11 Feb 2019 04:29:28 GMT '",b'The Congress\xe2\x80\x99 organisation in Uttar Pradesh is thin on the ground. It has been almost three decades since the  party was in power in the state. ',b'https://www.hindustantimes.com/columns/priyanka-gandhi-vadra-has-her-task-cut-out-in-uttar-pradesh/story-UwEYgK0fAZhkIyHonwSwAN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/02/08/Pictures/congress-general-secretary-for-uttar-pradesh_64ea9c76-2b73-11e9-b115-35431bcc9744.jpg
b'https://www.hindustantimes.com/lok-sabha-elections/with-rahul-gandhi-by-her-side-priyanka-to-get-grand-roadshow-welcome-in-lucknow/story-2ZpFvXZgVYgcWo9zudwYRM.html',"b""Priyanka Gandhi's 'Mission UP' begins today with Lucknow roadshow, Rahul Gandhi...""","b'Mon, 11 Feb 2019 04:23:15 GMT '","b'Priyanka Gandhi Vadra will be accompanied by her brother and Congress chief Rahul Gandhi and Jyotiraditya Scindia, the party general secretary for western UP.'",b'https://www.hindustantimes.com/lok-sabha-elections/with-rahul-gandhi-by-her-side-priyanka-to-get-grand-roadshow-welcome-in-lucknow/story-2ZpFvXZgVYgcWo9zudwYRM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/02/11/Pictures/supporters-gandhi-showered-petals-sister-priyanka-amethi_a345c828-2dae-11e9-8feb-c7253ea4083e.jpg
b'https://www.hindustantimes.com/india-news/first-batch-of-heavy-lift-chinook-helicopters-arrives-from-us/story-QuZPtNzotvWOrp901alZtI.html',b'First batch of heavy-lift Chinook helicopters arrives from US',"b'Mon, 11 Feb 2019 04:13:58 GMT '","b'The first batch of heavy-lift Chinook helicopters arrived at Gujarat\xe2\x80\x99s Mundra Port from the US on Sunday, a spokesperson of American aerospace major Boeing said. '",b'https://www.hindustantimes.com/india-news/first-batch-of-heavy-lift-chinook-helicopters-arrives-from-us/story-QuZPtNzotvWOrp901alZtI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/02/10/Pictures/indian-first-batch-force-four-chinook-helicopters_4ac83354-2d5c-11e9-aa1f-306fb5735c10.jpg
b'https://www.hindustantimes.com/india-news/priyanka-gandhi-promises-a-new-beginning-to-visit-up-tomorrow-with-rahul/story-SVCIEhiBpuP0l3rdX6iU4H.html',"b""Priyanka Gandhi's message on 'new future' hours before Lucknow roadshow""","b'Mon, 11 Feb 2019 04:12:55 GMT '","b'In an audio message being circulated on the eve of her visit, Priyanka Gandhi has said she is reaching Lucknow to build a new future for the people of Uttar Pradesh. '",b'https://www.hindustantimes.com/india-news/priyanka-gandhi-promises-a-new-beginning-to-visit-up-tomorrow-with-rahul/story-SVCIEhiBpuP0l3rdX6iU4H.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/02/11/Pictures/garlands-meeting-priyanka-gandhi-election-adjusts-flower_e69d2e0a-2db2-11e9-8feb-c7253ea4083e.jpg
b'https://www.hindustantimes.com/cricket/virat-kohli-best-leader-of-men-but-shane-warne-passes-verdict-on-kohli-s-captaincy/story-mhYHg1jEjhpVjGADSEtwtL.html',"b""Virat Kohli best leader of men, but...: Shane Warne passes verdict on Kohli's c...""","b'Mon, 11 Feb 2019 04:03:15 GMT '","b'Picking India and England as the two favourites for the World Cup, Warne underlined the value of MS Dhoni to this side. He believed India needed the experience of the former captain in crunch moments.'",b'https://www.hindustantimes.com/cricket/virat-kohli-best-leader-of-men-but-shane-warne-passes-verdict-on-kohli-s-captaincy/story-mhYHg1jEjhpVjGADSEtwtL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/02/11/Pictures/cricket-aus-sri_e7a7d4c8-2db0-11e9-8baa-80fb3b94486c.jpg
b'https://www.hindustantimes.com/editorials/the-congress-party-faces-a-steep-climb-in-uttar-pradesh/story-KlbnZWjFuPUoZlZkeczzYL.html',b'The Congress party faces a steep climb in Uttar Pradesh',"b'Mon, 11 Feb 2019 02:21:05 GMT '",b'Congress does not have a specific campaign message that takes into account specific grievances of different castes. ',b'https://www.hindustantimes.com/editorials/the-congress-party-faces-a-steep-climb-in-uttar-pradesh/story-KlbnZWjFuPUoZlZkeczzYL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/02/09/Pictures/budget-session-of-parliament_8eadfb5e-2c52-11e9-b7de-6a9a06b91305.jpg
b'https://www.hindustantimes.com/india-news/air-force-navy-stare-at-fund-crunch-next-fiscal/story-8ckAHWsuimTKDnYyIrMJ2M.html',"b'Air force, navy stare at fund crunch next fiscal'","b'Mon, 11 Feb 2019 02:10:38 GMT '","b'The Indian Navy and the Indian Air Force will not have funds to pay for platforms and equipment they have agreed to buy (or have actually bought) in the past years in the coming financial year 2019-2020, unless the government allocates more money to them. '",b'https://www.hindustantimes.com/india-news/air-force-navy-stare-at-fund-crunch-next-fiscal/story-8ckAHWsuimTKDnYyIrMJ2M.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/02/01/Pictures/iaf-drill-on-the-lucknow-agra-expressway_87d133a0-25e5-11e9-a07d-d8ccc3ad85d5.jpg
b'https://www.hindustantimes.com/bollywood/bollywood-villain-mahesh-anand-dies-at-57-body-found-decomposing-suicide-not-ruled-out/story-dyRlTgCsK4AQb80cAVaT9O.html',"b'Bollywood villain Mahesh Anand dies at 57, body found decomposing, suicide not ruled...'","b'Mon, 11 Feb 2019 02:07:01 GMT '",b'Police found actor Mahesh Anand\xe2\x80\x99s body in a decomposed state at his Mumbai home. He is suspected to have died at least two days ago.',b'https://www.hindustantimes.com/bollywood/bollywood-villain-mahesh-anand-dies-at-57-body-found-decomposing-suicide-not-ruled-out/story-dyRlTgCsK4AQb80cAVaT9O.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/02/10/Pictures/_da723306-2d11-11e9-b7de-6a9a06b91305.jpg
b'https://www.hindustantimes.com/analysis/ews-quota-narendra-modi-s-move-to-curb-the-ills-of-identity-politics/story-mfINvycMswHMiIA6AyyGzO.html',"b""EWS quota: Narendra Modi's move to curb the ills of identity politics""","b'Mon, 11 Feb 2019 02:01:35 GMT '",b'India has reiterated the principle that economic backwardness in and of itself is a sufficient criterion for government-mandated affirmative action; it is not social identity alone that determines welfare need.',b'https://www.hindustantimes.com/analysis/ews-quota-narendra-modi-s-move-to-curb-the-ills-of-identity-politics/story-mfINvycMswHMiIA6AyyGzO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/01/10/Pictures/india-economy-jobs-politics_47b1f55c-14f6-11e9-9574-d80eb2faafc4.jpg
b'https://www.hindustantimes.com/analysis/informal-jobs-are-the-new-norm-not-the-exception/story-nBiPuBNDsScbxAJes0oIdN.html',"b'Informal jobs are the new norm, not the exception'","b'Mon, 11 Feb 2019 01:59:03 GMT '",b'We need to identify strategies to organise informal workers to increase their collective representative voice.',b'https://www.hindustantimes.com/analysis/informal-jobs-are-the-new-norm-not-the-exception/story-nBiPuBNDsScbxAJes0oIdN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/01/29/Pictures/small-businesses-trillion-hidden-shows-economy-stalled_7a30b802-23a5-11e9-b3a2-37e00a7683f5.jpg
b'https://www.hindustantimes.com/noida/groom-falls-in-drain-after-bridge-collapses-due-to-baraat-dance-in-noida/story-omf7zlgdS6UKi0dDK6YiAJ.html',"b""Groom falls in drain after bridge collapses due to 'baraat' dance in Noida""","b'Sun, 10 Feb 2019 04:16:52 GMT '","b'Fifteen persons, part of a wedding procession (baraat), including the groom, fell into a drain when the bridge they were dancing on collapsed in Hoshiyarpur village of Noida\xe2\x80\x99s Sector 52 on Saturday night. '",b'https://www.hindustantimes.com/noida/groom-falls-in-drain-after-bridge-collapses-due-to-baraat-dance-in-noida/story-omf7zlgdS6UKi0dDK6YiAJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/02/10/Pictures/including-hindustan-february-belonging-procession-collapsed-hoshiyarpur_21c3ab18-2d44-11e9-aa1f-306fb5735c10.jpg
b'https://www.hindustantimes.com/columns/men-sharing-childcare-make-society-more-equal/story-JYF5QbHL3QPuy1uD7ICo8I.html',b'Men sharing childcare make society more equal',"b'Sat, 09 Feb 2019 09:56:05 GMT '",b'Social assumptions about Noble Mothers who sacrifice careers for their children are deeply ingrained',b'https://www.hindustantimes.com/columns/men-sharing-childcare-make-society-more-equal/story-JYF5QbHL3QPuy1uD7ICo8I.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/02/08/Pictures/standalone_a55e68d6-2b83-11e9-aa1f-306fb5735c10.jpg
b'https://www.hindustantimes.com/columns/the-bjp-has-got-its-timing-on-corruption-all-wrong/story-oqzIj0kf7Oip8x432mEtaJ.html',"b'Opinion| The BJP&thinsp;has got its timing on corruption all wrong, writes Barkha Dutt'","b'Fri, 08 Feb 2019 03:37:59 GMT '",b'To act on corruption charges in the twilight of its tenure is not smart politics. It may have handed over the advantage to the opposition ',b'https://www.hindustantimes.com/columns/the-bjp-has-got-its-timing-on-corruption-all-wrong/story-oqzIj0kf7Oip8x432mEtaJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/02/08/Pictures/election-counting_3dcced5c-2b77-11e9-aa1f-306fb5735c10.jpg
